ProcessID,DelayedRejectionStage,MeanAcceptanceRate,AdaptationMeasure,BurninLocation,SampleWeight,SampleLogFunc,Substrate Roughness,Backs parameter 1,Scalefactor 1
1,0,.51057969,.0000000,1,2,-473.42698,.50000000,.50000000,.50000000
1,0,.29023545,.0000000,1,3,-475.24414,.50047714,.50048155,.50060306
1,0,.40852954,.0000000,1,1,-474.75704,.50088190,.50019118,.50055419
1,0,.43744320,.0000000,1,2,-472.27224,.50011873,.50020816,.49966217
1,0,.45360772,.0000000,1,2,-466.72897,.50050962,.50004304,.49807854
1,0,.50327975,.0000000,5,1,-465.70574,.49819127,.50097680,.49726565
1,0,.47270827,.99997874,5,1,-467.69775,.49752205,.50162793,.49769583
1,0,.51326917,.0000000,5,1,-467.69672,.49752043,.50162887,.49769516
1,0,.54803566,.0000000,5,1,-467.69535,.49751941,.50162900,.49769454
1,0,.57812128,.0000000,5,1,-467.69603,.49751949,.50162881,.49769477
1,0,.60448870,.0000000,5,1,-467.69256,.49751812,.50162932,.49769343
1,0,.62773067,.0000000,5,1,-467.69295,.49751986,.50162849,.49769394
1,0,.64841230,.0000000,5,1,-467.68867,.49751951,.50162803,.49769261
1,0,.66691692,.0000000,5,1,-467.68754,.49751962,.50162820,.49769228
1,0,.68324701,.0000000,5,1,-467.69404,.49752055,.50162778,.49769444
1,0,.69833049,.0000000,5,1,-467.69341,.49752059,.50162761,.49769427
1,0,.71202527,.0000000,5,1,-467.69380,.49752121,.50162729,.49769453
1,0,.72454591,.0000000,5,1,-467.69230,.49752139,.50162687,.49769414
1,0,.68454811,.98014310,5,3,-467.69206,.49752219,.50162641,.49769425
1,0,.69623151,.0000000,5,1,-466.35095,.49668318,.50205356,.49710162
1,0,.70708038,.0000000,5,1,-465.58696,.49620458,.50229722,.49676375
1,0,.71718106,.0000000,5,1,-464.18738,.49532518,.50274525,.49614396
1,0,.72660836,.0000000,5,1,-463.24395,.49472746,.50304997,.49572489
1,0,.69332645,.0000000,6,4,-462.92456,.49452637,.50315252,.49558327
1,0,.70208855,.0000000,6,1,-461.46137,.49360497,.50362210,.49493425
1,0,.71036387,.37003402,22,1,-460.96219,.49329216,.50378145,.49471311
1,0,.71819187,.0000000,22,1,-457.65782,.49120975,.50484222,.49324563
1,0,.72560788,.0000000,26,1,-454.54341,.48924743,.50584173,.49186105
1,0,.73264357,.0000000,27,1,-454.39658,.48915275,.50589028,.49179523
1,0,.73932748,.0000000,27,1,-451.11240,.48707780,.50694664,.49033220
1,0,.72969854,.0000000,28,2,-443.41991,.48220403,.50942853,.48689540
1,0,.73598462,.0000000,31,1,-442.71116,.48175426,.50965763,.48657809
