NumFuncCallTotal,NumFuncCallAccepted,MeanAcceptanceRateSinceStart,MeanAcceptanceRateSinceLastReport,TimeElapsedSinceLastReportInSeconds,TimeElapsedSinceStartInSeconds,TimeRemainedToFinishInSeconds
999,211,.21773446,.21751673,.16176391,.16176391,38.170915
1999,435,.22112108,.22450432,.17419815,.33596206,38.280366
2999,670,.22666983,.23776178,.14436698,.48032904,35.365121
3999,866,.21991771,.19966811,.14856482,.62889385,35.681375
4999,1093,.22017280,.22119289,.14915919,.77805305,34.814492
5999,1280,.21428829,.18487162,.14204693,.92009997,35.021305
6999,1460,.20977534,.18270216,.13971591,1.0598159,35.235249
7999,1647,.20666541,.18489905,.14058113,1.2003970,35.241528
8999,1837,.20401933,.18285328,.14785600,1.3482530,35.348889
9999,2033,.20354266,.19925308,.14829803,1.4965510,35.309918
10999,2237,.20336633,.20160326,.19372582,1.6902769,36.089716
11999,2460,.20443661,.21620865,.15674114,1.8470180,35.693998
12999,2696,.20641803,.23019303,.15035486,1.9973729,35.045892
13999,2918,.20736003,.21960509,.14854002,2.1459129,34.624356
14999,3146,.20882279,.22929996,.14755702,2.2934699,34.157101
15999,3376,.21042507,.23445774,.14807606,2.4415460,33.718791
16999,3632,.21318936,.25741518,.16243196,2.6039779,33.243736
17999,3884,.21513148,.24814564,.22341108,2.8273890,33.570513
18999,4136,.21729027,.25614631,.15746689,2.9848559,33.098992
19999,4371,.21853026,.24208882,.14197016,3.1268260,32.641031
20999,4647,.22105806,.27161146,.14377284,3.2705989,31.919835
21999,4925,.22345991,.27389644,.14593101,3.4165299,31.269053
22999,5217,.22624538,.28752300,.14221811,3.5587480,30.548478
23999,5517,.22889069,.28973005,.14729691,3.7060449,29.881457
24999,5824,.23208739,.30880499,.14491105,3.8509560,29.210136
25999,6136,.23479014,.30235633,.14231205,3.9932680,28.546400
26999,6442,.23708301,.29669522,.14268494,4.1359529,27.965514
27999,6775,.24046134,.33167291,.14332104,4.2792740,27.302084
28999,7124,.24403280,.34403005,.14216089,4.4214349,26.610534
29999,7439,.24653664,.31914566,.14172602,4.5631609,26.107365
30999,7745,.24846645,.30635861,.14683604,4.7099969,25.696697
31999,8066,.25081914,.32375031,.14392304,4.8539200,25.234848
32999,8389,.25308151,.32547499,.14267802,4.9965980,24.784055
33999,8721,.25521292,.32554724,.14394093,5.1405389,24.331648
34999,9059,.25765344,.34062893,.14224696,5.2827859,23.874880
35999,9381,.25952909,.32517471,.14051604,5.4233019,23.482475
36999,9721,.26154399,.33407863,.14174509,5.5650470,23.058793
37999,10101,.26425625,.36460699,.14880991,5.7138569,22.569763
38999,10459,.26640925,.34822122,.14241409,5.8562710,22.140053
39999,10823,.26907527,.37304728,.14684105,6.0031121,21.730012
40999,11165,.27104685,.34990811,.14284682,6.1459589,21.377368
41999,11511,.27301454,.35368782,.14379501,6.2897539,21.030869
42999,11862,.27496594,.35692299,.14229512,6.4320490,20.679943
43999,12232,.27728190,.37686581,.14364886,6.5756979,20.303381
44999,12605,.27966647,.38458507,.14711118,6.7228091,19.944422
45999,12967,.28153762,.36573727,.14231682,6.8651259,19.606401
46999,13331,.28332316,.36545663,.14400816,7.0091341,19.279719
47999,13718,.28529643,.37803793,.14559388,7.1547279,18.923155
48999,14109,.28744886,.39076350,.14337802,7.2981060,18.565194
49999,14471,.28919861,.37493446,.14448690,7.4425929,18.272952
50999,14883,.29170266,.41690274,.14365220,7.5862451,17.900031
51999,15253,.29320233,.36968379,.14723682,7.7334819,17.617209
52999,15669,.29515933,.39692162,.14162016,7.8751020,17.254460
53999,16079,.29734272,.41305998,.14411592,8.0192180,16.917712
54999,16480,.29927849,.40380830,.14760590,8.1668239,16.611161
55999,16900,.30136540,.41614350,.15036917,8.3171930,16.289887
56999,17337,.30357533,.42732908,.15694094,8.4741340,15.965313
57999,17765,.30559256,.42057240,.14929295,8.6234269,15.647406
58999,18179,.30741964,.41338854,.15242696,8.7758539,15.361486
59999,18592,.30917926,.41299502,.14882302,8.9246769,15.076713
60999,18988,.31083070,.40991550,.14758110,9.0722580,14.817193
61999,19404,.31259290,.42008520,.14876986,9.2210279,14.539609
62999,19815,.31417835,.41247510,.14415503,9.3651829,14.266366
63999,20265,.31609515,.43685138,.14285016,9.5080330,13.951215
64999,20664,.31737228,.39910708,.14376903,9.6518021,13.702345
65999,21077,.31875667,.40874086,.14751792,9.7993200,13.447157
66999,21514,.32037061,.42688938,.14074993,9.9400699,13.161329
67999,21963,.32228322,.45042574,.14104605,10.081116,12.869109
68999,22365,.32356686,.41085353,.14125299,10.222369,12.631127
69999,22785,.32498122,.42257070,.14499211,10.367361,12.383047
70999,23206,.32632829,.42062140,.13954401,10.506905,12.131432
71999,23675,.32812763,.45587909,.14332581,10.650231,11.842337
72999,24103,.32956405,.43298475,.14811301,10.798344,11.602071
73999,24500,.33060524,.40661105,.14292717,10.941271,11.387854
74999,24924,.33180197,.42035917,.14167881,11.082950,11.150540
75999,25363,.33328828,.44476016,.14238620,11.225336,10.904018
76999,25800,.33459867,.43418666,.14379597,11.369132,10.664070
77999,26258,.33600028,.44392269,.14400482,11.513137,10.409966
78999,26709,.33734916,.44256030,.14222717,11.655364,10.163806
79999,27166,.33865401,.44173575,.14912581,11.804490,9.9220983
80999,27605,.33983596,.43439157,.14344311,11.947933,9.6929527
81999,28047,.34126675,.45715892,.14312696,12.091060,9.4639369
82999,28500,.34257903,.45018493,.14293814,12.233998,9.2291564
83999,28948,.34381011,.44598803,.14154291,12.375541,8.9999271
84999,29371,.34485842,.43291582,.14261103,12.518152,8.7922426
85999,29828,.34603043,.44565011,.14763308,12.665785,8.5655832
86999,30269,.34706451,.43599391,.14774799,12.813533,8.3525660
87999,30705,.34815876,.44335732,.14405084,12.957584,8.1425364
88999,31167,.34948172,.46590094,.14298511,13.100569,7.9161618
89999,31623,.35068069,.45738832,.14239097,13.242960,7.6958503
90999,32050,.35165626,.43945671,.14655805,13.389518,7.4989656
91999,32502,.35285788,.46220347,.14405584,13.533574,7.2860278
92999,32958,.35387622,.44756239,.14903712,13.682611,7.0750366
93999,33408,.35488735,.44892169,.14352798,13.826139,6.8667175
94999,33864,.35587626,.44883292,.14389205,13.970031,6.6566389
95999,34339,.35699099,.46288956,.14345384,14.113485,6.4367421
96999,34802,.35811401,.46592275,.14576817,14.259253,6.2270021
97999,35284,.35932391,.47668317,.14639497,14.405648,6.0082053
98999,35766,.36048289,.47406109,.14923596,14.554884,5.7924906
99999,36270,.36169578,.48177064,.15947390,14.714358,5.5701167
100999,36750,.36279278,.47249153,.14812016,14.862478,5.3585805
101999,37217,.36376571,.46203114,.15002704,15.012505,5.1563762
102999,37703,.36480471,.47078115,.14974880,15.162254,4.9452361
103999,38164,.36562072,.44966976,.14416718,15.306421,4.7470600
104999,38607,.36646384,.45414694,.14299488,15.449416,4.5591524
105999,39080,.36736286,.46175951,.14397907,15.593395,4.3572127
106999,39565,.36842279,.48077453,.14996886,15.743364,4.1522053
107999,40030,.36923860,.45652867,.14517212,15.888536,3.9572497
108999,40460,.36996671,.44860195,.14492702,16.033463,3.7805051
109999,40932,.37094727,.47782789,.14334607,16.176809,3.5837805
110999,41378,.37175737,.46086703,.14445686,16.321266,3.4008883
111999,41843,.37252791,.45805705,.14059496,16.461861,3.2091246
112999,42308,.37335164,.46560847,.14178205,16.603643,3.0187015
113999,42794,.37431241,.48287927,.14769697,16.751340,2.8207262
114999,43248,.37510974,.46600398,.14534307,16.896683,2.6379579
115999,43712,.37591554,.46858142,.14335394,17.040037,2.4512205
116999,44160,.37666457,.46355139,.14621305,17.186250,2.2728193
117999,44640,.37745610,.47006514,.14460301,17.330853,2.0809447
118999,45112,.37828780,.47642747,.14154887,17.472402,1.8931792
119999,45596,.37915424,.48225960,.14109516,17.613497,1.7012422
120999,46053,.37990393,.46986553,.14591885,17.759416,1.5220814
121999,46538,.38073255,.48099546,.14405799,17.903474,1.3318541
122999,47039,.38169386,.49897277,.14589906,18.049373,1.1361677
123999,47506,.38247736,.47884605,.14303708,18.192410,.95507663
124999,47969,.38319520,.47220686,.14798093,18.340391,.77652930
125999,48450,.38400598,.48535256,.14418197,18.484573,.59135372
126999,48937,.38479271,.48391976,.14356709,18.628140,.40463683
127999,49456,.38568226,.49865413,.14880991,18.776950,.20654037
128999,49956,.38651703,.49336740,.14375210,18.920702,.16664883E-01
129083,50000,.38656639,.46236236,.12047052E-01,18.932749,.0000000
