SampleLogFunc,Substrate Roughness,Backs parameter 1,Scalefactor 1
-11.451375,.27174965E-01,.74111975,.16615429
-12.030698,.13603996E-01,.74660965,.15862470
-6.0830426,.56309492,.69139209,.21976614
-6.2962362,.49305143,.69744535,.21574295
-2.8283849,.43177746,.51366915,.21998381
-2.1614243,.25852693,.36650744,.19414925
-3.0829737,.38429901,.50098594,.21783085
-3.4710083,.62683048,.44835231,.23690343
-1.9677000,.39554127,.47771997,.21109752
-2.5431337,.53266976,.43323292,.22797866
-3.0350360,.54509103,.45650320,.21447820
-1.8177143,.34433005,.45806946,.20129672
-2.4756677,.42419022,.36195560,.21941590
-3.2863086,.29187643,.51703649,.20610434
-2.0648755,.37926091,.48629167,.19986780
-3.0258011,.42410136,.33243580,.20746837
-2.0501297,.26434840,.37335894,.19781835
-3.1046889,.12361382,.45362231,.18470163
-2.0461024,.46151090,.44252688,.21108450
-3.9968613,.65954689,.53370948,.23390338
-2.0832458,.37162940,.37101430,.20487037
-2.4243431,.24053680,.41289540,.18657126
-1.9273688,.34393640,.40966490,.20877938
-2.4646542,.46789813,.49636346,.22190909
-2.3408306,.43042325,.42998801,.22134677
-3.8217636,.11193069,.50705170,.18009126
-1.8543215,.32213852,.40716220,.19920903
-2.1767818,.46693015,.40051875,.21562329
-1.8969497,.29899696,.43343379,.19615251
-2.6057555,.32466506,.52096456,.19201513
-6.1105051,.61870231,.40065995,.21458266
-3.4965103,.31924605,.36476372,.18775693
-2.9790028,.15707481,.45928291,.18064003
-3.2711964,.25693344,.48363031,.18105670
-2.3111201,.42509229,.44874745,.22009684
-1.9478585,.40197915,.40788062,.21416523
-3.3945399,.43977599,.48248045,.19587307
-2.5880558,.45407646,.46044220,.22441517
-2.3171410,.50001365,.45043568,.22483770
-5.1408437,.46154090,.28520998,.23470186
-2.6788694,.32009733,.51423362,.19031144
-2.2496712,.30285178,.38857182,.19322080
-3.7268947,.46468860,.58745480,.20023514
-6.8882029,.75850627,.38411601,.25084927
-2.8821429,.39994852,.56372232,.19952156
-4.1364228,.43726545,.55484190,.19250641
-3.0395299,.37658807,.47833342,.19116743
-2.9835140,.35243197,.30792654,.21396294
-2.7523720,.46547176,.36137019,.21269689
-3.9493821,.65413410,.46700701,.23176919
-4.2797551,.32960555,.41453047,.22220725
-4.8722561,.64512631,.60378409,.22412119
-2.2867345,.44526435,.50094839,.21751014
-1.7979446,.38119498,.43460139,.20408648
-2.6461857,.39697316,.46618650,.21906189
-2.4813599,.33212578,.33359258,.20989523
-1.7616327,.37487735,.43395604,.20467954
-3.1178475,.53861289,.49678016,.21146568
-1.9349990,.33481419,.38287561,.20153190
-2.3295369,.20905093,.35691774,.19240944
-2.6569286,.34811940,.41790537,.19220889
-3.7999293,.60245029,.57505402,.22294963
-2.6400289,.52069537,.49397063,.22729414
-3.6602948,.33544854,.29902149,.19530637
-4.3387589,.53338094,.36519799,.24089480
-2.0811132,.27200831,.44583755,.19206293
-1.8922858,.30344489,.43981307,.19649646
-7.3106111,.76733751,.48895126,.23480164
-3.7572132,.27811397,.36022803,.18316317
-3.2109692,.14317523,.40427174,.19504734
-2.0938378,.31049732,.45937507,.19349394
-2.6340851,.20839715,.45837747,.18407748
-2.1117739,.48416063,.45529487,.22077591
-5.2857050,.71784049,.47265646,.23670653
-2.5130019,.29765416,.43299240,.18857321
-1.9394830,.44536858,.47375858,.21447931
-2.8825218,.31034177,.45651799,.18663358
-2.3868965,.25632405,.33499036,.19551064
-2.2450622,.50577721,.44158150,.21746821
-3.0350605,.53283419,.53326909,.21208858
-2.3605110,.35750525,.33691148,.20871076
-3.6178227,.35287634,.26564500,.20768464
-2.3167292,.35519665,.52476518,.20004808
-4.4817822,.10455322,.35496035,.16960177
-2.0950453,.45185112,.39800282,.21642731
-4.8966158,.23386517,.62092423,.18713958
-2.8079344,.32793821,.46581662,.21243000
-1.8487398,.33299681,.45852848,.20260995
-2.2313419,.40385914,.38403969,.21724411
-2.1905838,.38858367,.38097143,.20360991
-2.9989358,.18452482,.30501668,.18774947
-2.1196711,.48961792,.46153244,.22055853
-3.0656005,.29806156,.48415761,.20894757
-4.0944648,.60057701E-01,.48618376,.17791748
-3.7698913,.64094073,.53686535,.23118438
-3.0309175,.13627665,.32122402,.18377888
-2.4815268,.46777392,.54015973,.21369717
-2.5546777,.46311098,.54805599,.21090970
-5.0010252,.52242607,.63955370,.22394310
-5.8683516,.51495432,.36816196,.20110855
-2.5163866,.29252634,.37073711,.20916266
-3.8841653,.29556989,.56211569,.18297620
-3.5927178,.50115982,.35569186,.21204519
-4.4023528,.40589110,.46267769,.22902770
-2.1405155,.26973702,.39877498,.19172420
-2.2117274,.50846861,.45289036,.22201968
-3.9453822,.18264628E-02,.35296036,.17216523
-2.3023182,.21801554,.40482000,.18775137
-1.9841935,.29273436,.37419663,.20046341
-4.4969894,.68118458,.43895219,.23751511
-4.3948438,.18036546,.56448262,.17696112
-2.1531460,.25442160,.46019221,.19409006
-2.1811826,.44540065,.43401789,.20683234
-2.5779281,.37586660,.49914616,.19449263
-2.2184417,.25773111,.45558091,.19000568
-3.3484207,.20527033,.40161159,.17839348
-2.8617351,.53147221,.50371490,.22931221
-2.5825587,.38907619,.44533551,.21890081
-5.6242647,.54618675,.34703165,.20919017
-3.3104738,.55838902,.54975622,.22917199
-4.5331760,.36877794,.23434409,.21445651
-2.2245393,.22979929,.37997038,.19766382
-4.1592958,.27752745,.48960825,.21168902
-4.1700661,.64489415,.49509248,.22504570
